Instrument,Type,Quantity,Bucket
AMZN,Stock,78,Growth
COIN,Stock,0,Growth
SPY,ETF,89,Growth
QQQ,ETF,120,Growth
VTI,ETF,275,Growth
VT,ETF,49,Growth
VEA,ETF,383,Growth
EEM,ETF,187,Growth
VWO,ETF,389,Growth
MCHI,ETF,225,Growth
BWX,ETF,220,Growth
DBC,ETF,2439,Growth
LBMA/GOLD,Commodity,20,Secure
LBMA/SILVER,Commodity,230,Secure
USD,Currency,156790.85,Secure
BTCUSDT,Cryptocurrency,1.52511426,High-risk
ETHUSDT,Cryptocurrency,19.440642,High-risk
XRPUSDT,Cryptocurrency,3103.57,High-risk
BCHUSDT,Cryptocurrency,1.7718022,High-risk
LTCUSDT,Cryptocurrency,25.42968,High-risk
NANOUSDT,Cryptocurrency,149.98,High-risk
DOTUSDT,Cryptocurrency,24.474,High-risk
SOLUSD,Cryptocurrency,0,High-risk
